fold,test_speaker,n_train,n_test,accuracy,time_sec
1,1,2705,60,0.5,1.56
2,2,2665,100,0.58,0.02
3,3,2665,100,0.33,0.02
4,4,2665,100,0.4,0.02
5,5,2667,98,0.3776,0.01
6,6,2667,98,0.398,0.01
7,7,2627,138,0.6304,0.03
8,8,2665,100,0.3,0.02
9,9,2683,82,0.4146,0.01
10,10,2725,40,0.275,0.01
11,11,2725,40,0.375,0.01
12,12,2734,31,0.1935,0.01
13,13,2705,60,0.2167,0.01
14,14,2685,80,0.4375,0.01
15,15,2687,78,0.4744,0.01
16,16,2637,128,0.3516,0.01
17,17,2726,39,0.3077,0.01
18,18,2737,28,0.6429,0.01
19,19,2657,108,0.5463,0.02
20,20,2715,50,0.4,0.01
21,21,2665,100,0.46,0.02
22,22,2647,118,0.5593,0.02
23,23,2711,54,0.2222,0.01
24,24,2665,100,0.27,0.02
25,25,2705,60,0.3833,0.01
26,26,2665,100,0.32,0.02
27,27,2660,105,0.3048,0.02
28,28,2665,100,0.32,0.02
29,29,2667,98,0.4184,0.02
30,30,2666,99,0.4848,0.02
31,31,2690,75,0.6,0.02
32,32,2663,102,0.4608,0.02
33,33,2669,96,0.5208,0.02
