fold,test_speaker,n_train,n_test,accuracy,time_sec
1,1,2705,60,0.5167,1.65
2,2,2665,100,0.64,2.31
3,3,2665,100,0.28,2.53
4,4,2665,100,0.38,1.68
5,5,2667,98,0.3163,1.82
6,6,2667,98,0.3571,2.15
7,7,2627,138,0.5072,1.92
8,8,2665,100,0.33,4.47
9,9,2683,82,0.4634,2.12
10,10,2725,40,0.45,4.08
11,11,2725,40,0.275,2.85
12,12,2734,31,0.2581,2.48
13,13,2705,60,0.3167,3.05
14,14,2685,80,0.4625,3.19
15,15,2687,78,0.4744,2.03
16,16,2637,128,0.5625,2.0
17,17,2726,39,0.8205,1.95
18,18,2737,28,0.4643,2.35
19,19,2657,108,0.4815,7.49
20,20,2715,50,0.08,15.01
21,21,2665,100,0.43,14.12
22,22,2647,118,0.5847,1.24
23,23,2711,54,0.2963,2.01
24,24,2665,100,0.31,3.74
25,25,2705,60,0.3667,2.67
26,26,2665,100,0.32,2.46
27,27,2660,105,0.381,2.52
28,28,2665,100,0.34,3.47
29,29,2667,98,0.4796,1.79
30,30,2666,99,0.5152,3.27
31,31,2690,75,0.56,1.92
32,32,2663,102,0.4804,1.66
33,33,2669,96,0.4271,2.44
