fold,test_speaker,n_train,n_test,accuracy,time_sec
1,1,2705,60,0.6333,0.58
2,2,2665,100,0.73,0.57
3,3,2665,100,0.3,0.57
4,4,2665,100,0.41,0.57
5,5,2667,98,0.3265,0.56
6,6,2667,98,0.3776,0.56
7,7,2627,138,0.5507,0.55
8,8,2665,100,0.35,0.55
9,9,2683,82,0.439,0.55
10,10,2725,40,0.4,0.55
11,11,2725,40,0.275,0.55
12,12,2734,31,0.0968,0.55
13,13,2705,60,0.2833,0.54
14,14,2685,80,0.5,0.54
15,15,2687,78,0.4744,0.55
16,16,2637,128,0.5391,0.54
17,17,2726,39,0.8718,0.56
18,18,2737,28,0.6429,0.57
19,19,2657,108,0.3333,0.55
20,20,2715,50,0.1,0.55
21,21,2665,100,0.42,0.55
22,22,2647,118,0.5339,0.56
23,23,2711,54,0.2593,0.54
24,24,2665,100,0.29,0.55
25,25,2705,60,0.4833,0.57
26,26,2665,100,0.28,0.55
27,27,2660,105,0.3524,0.55
28,28,2665,100,0.34,0.54
29,29,2667,98,0.4286,0.54
30,30,2666,99,0.5859,0.55
31,31,2690,75,0.5733,0.55
32,32,2663,102,0.5392,0.55
33,33,2669,96,0.5104,0.54
