model,combo,val_acc,time_sec,metric,n_neighbors,weights
knn,14,0.6916,0.04,manhattan,5,distance
knn,20,0.6867,0.04,manhattan,11,distance
knn,12,0.6843,0.04,manhattan,3,distance
knn,17,0.6819,0.07,manhattan,9,uniform
knn,16,0.6819,0.04,manhattan,7,distance
knn,19,0.6819,0.06,manhattan,11,uniform
knn,13,0.6795,0.07,manhattan,5,uniform
knn,18,0.6795,0.04,manhattan,9,distance
knn,11,0.6747,0.06,manhattan,3,uniform
knn,15,0.6723,0.07,manhattan,7,uniform
knn,1,0.6723,2.68,euclidean,3,uniform
knn,6,0.6699,0.02,euclidean,7,distance
knn,2,0.6651,0.03,euclidean,3,distance
knn,7,0.6554,0.02,euclidean,9,uniform
knn,5,0.653,0.02,euclidean,7,uniform
knn,4,0.653,0.02,euclidean,5,distance
knn,10,0.653,0.02,euclidean,11,distance
knn,8,0.6506,0.02,euclidean,9,distance
knn,9,0.6434,0.02,euclidean,11,uniform
knn,3,0.641,0.02,euclidean,5,uniform
