model,combo,val_acc,time_sec,alpha,hidden_layer_sizes,learning_rate_init
mlp,3,0.7181,2.19,0.0001,"(256,)",0.001
mlp,4,0.7157,3.62,0.0001,"(256,)",0.0005
mlp,5,0.7157,2.41,0.0001,"(256, 128)",0.001
mlp,20,0.7133,4.0,0.01,"(256,)",0.0005
mlp,22,0.7084,2.83,0.01,"(256, 128)",0.0005
mlp,19,0.7084,1.8,0.01,"(256,)",0.001
mlp,13,0.7084,3.67,0.001,"(256, 128)",0.001
mlp,6,0.7036,3.28,0.0001,"(256, 128)",0.0005
mlp,14,0.7036,2.49,0.001,"(256, 128)",0.0005
mlp,11,0.6988,1.33,0.001,"(256,)",0.001
mlp,12,0.6916,1.71,0.001,"(256,)",0.0005
mlp,1,0.6843,0.51,0.0001,"(128,)",0.001
mlp,17,0.6843,0.49,0.01,"(128,)",0.001
mlp,9,0.6843,0.5,0.001,"(128,)",0.001
mlp,21,0.6819,1.33,0.01,"(256, 128)",0.001
mlp,16,0.6723,1.02,0.001,"(128, 64)",0.0005
mlp,8,0.6699,0.82,0.0001,"(128, 64)",0.0005
mlp,15,0.6651,0.7,0.001,"(128, 64)",0.001
mlp,23,0.6627,0.66,0.01,"(128, 64)",0.001
mlp,7,0.6627,0.64,0.0001,"(128, 64)",0.001
mlp,2,0.653,0.46,0.0001,"(128,)",0.0005
mlp,10,0.653,0.45,0.001,"(128,)",0.0005
mlp,18,0.653,0.46,0.01,"(128,)",0.0005
mlp,24,0.6434,0.68,0.01,"(128, 64)",0.0005
