epoch,train_acc,val_acc,val_f1,gap
1,0.5967,0.4687,0.4366,0.128
2,0.6592,0.4561,0.4174,0.203
3,0.7161,0.4436,0.4064,0.2725
4,0.7666,0.4837,0.4547,0.2829
5,0.7626,0.4536,0.4123,0.309
6,0.8386,0.5138,0.502,0.3248
7,0.8756,0.5363,0.5163,0.3392
8,0.8516,0.4612,0.4479,0.3904
9,0.8571,0.4536,0.4293,0.4034
10,0.8876,0.5288,0.527,0.3587
11,0.929,0.4536,0.4465,0.4754
12,0.929,0.5188,0.5148,0.4102
13,0.938,0.4937,0.4881,0.4443
14,0.942,0.5113,0.5086,0.4308
15,0.9465,0.5263,0.5195,0.4202
16,0.954,0.4837,0.4714,0.4703
17,0.948,0.4637,0.451,0.4844
18,0.9625,0.5238,0.5162,0.4387
19,0.966,0.4637,0.4634,0.5024
20,0.975,0.4737,0.4756,0.5013
21,0.969,0.4912,0.4914,0.4778
