epoch,train_acc,val_acc,val_f1,gap,lr
1,0.5453,0.4814,0.4429,0.0639,0.0001
2,0.6299,0.4951,0.4872,0.1348,0.0002
3,0.6885,0.5225,0.5125,0.166,0.0003
4,0.7707,0.5734,0.5575,0.1973,0.0004
5,0.7661,0.544,0.529,0.2221,0.0005
6,0.7967,0.5205,0.5222,0.2761,0.0005
7,0.8062,0.5773,0.5652,0.2289,0.0005
8,0.8718,0.591,0.5787,0.2808,0.000499
9,0.8693,0.6008,0.5994,0.2685,0.000499
10,0.8968,0.6027,0.5883,0.2941,0.000499
11,0.9159,0.593,0.5821,0.3229,0.000498
12,0.9069,0.6027,0.6,0.3041,0.000497
13,0.9169,0.6047,0.5988,0.3122,0.000496
14,0.9034,0.5851,0.5745,0.3182,0.000495
15,0.9379,0.6086,0.6003,0.3293,0.000494
16,0.9529,0.6125,0.5945,0.3404,0.000493
17,0.9264,0.6106,0.5892,0.3158,0.000492
18,0.9564,0.6243,0.6144,0.3322,0.00049
19,0.9479,0.6184,0.6054,0.3295,0.000489
20,0.969,0.6341,0.6192,0.3349,0.000487
21,0.973,0.6106,0.594,0.3624,0.000485
22,0.9519,0.6008,0.5917,0.3511,0.000483
23,0.973,0.6262,0.6163,0.3467,0.000481
